A/Viet_Nam/1203/2004|EPI_ISL_4156||1|2004-01-01|HA|A_/_H5N1
A/dairy_cow/California/25_006511-002-R/2024|EPI_ISL_19873920||2.3.4.4b|2024-11-04|HA|A_/_H5N1
A/chicken/USA/038617-001/2024|EPI_ISL_19737003||2.3.4.4b|2024-01-01|HA|A_/_H5N1
A/chicken/Korea/ES/03|EPI_ISL_67387||2.5|2003-01-01|HA|A_/_H5N1
A/chicken/USA/038444-006/2024|EPI_ISL_19661092||2.3.4.4b|2024-01-01|HA|A_/_H5N1
A/chicken/Georgia/01299-002/2026|EPI_ISL_20391508||2.3.4.4b|2026-01-22|HA|A_/_H5N1
A/chicken/USA/033705-002/2024|EPI_ISL_19736929||2.3.4.4b|2024-01-01|HA|A_/_H5N1
A/CHICKEN/Hunan/143/2011|EPI_ISL_4055539||2.3.2.1c|2011-01-01|HA|A_/_H5N1
A/chicken/Pennsylvania/010255-002/2025|EPI_ISL_19825735||2.3.4.4b|2025-03-25|HA|A_/_H5N1
A/chicken/California/037217-002/2024|EPI_ISL_19636505||2.3.4.4b|2024-12-10|HA|A_/_H5N1
A/chicken/Arizona/005798-004/2025|EPI_ISL_19777089||2.3.4.4b|2025-02-13|HA|A_/_H5N1
A/chicken/Miyazaki/M6/2011|EPI_ISL_105935||2.3.2.1c|2011-01-01|HA|A_/_H5N1
A/chicken/Colorado/01534-002/2026|EPI_ISL_20398129||2.3.4.4b|2026-01-29|HA|A_/_H5N1
A/chicken/Italy/21VIR11056-1/2021|EPI_ISL_14760737||2.3.4.4b|2021-12-13|HA|A_/_H5N1
A/dairy_cow/California/036581-007/2024|EPI_ISL_19636552||2.3.4.4b|2024-12-03|HA|A_/_H5N1
A/dairy_cow/California/036363-002/2024|EPI_ISL_19636507||2.3.4.4b|2024-12-04|HA|A_/_H5N1
A/dairy_cow/California/020778-005/2025|EPI_ISL_20128737||2.3.4.4b|2025-07-15|HA|A_/_H5N1
A/dairy_cow/Idaho/015124-002/2025|EPI_ISL_19890990||2.3.4.4b|2025-05-05|HA|A_/_H5N1
A/dairy_cow/USA/24_034697-002/2024|EPI_ISL_19593835||2.3.4.4b|2024-01-01|HA|A_/_H5N1
A/dairy_cow/Idaho/014340-001/2025|EPI_ISL_19882347||2.3.4.4b|2025-04-28|HA|A_/_H5N1
A/dairy_cow/California/036351-001/2024|EPI_ISL_19636580||2.3.4.4b|2024-12-04|HA|A_/_H5N1
A/dairy_cow/Minnesota/24_016370-012/2024|EPI_ISL_19228542||2.3.4.4b|2024-06-04|HA|A_/_H5N1
A/dairy_cow/USA/007549-029/2025|EPI_ISL_19808864||2.3.4.4b|2025-01-01|HA|A_/_H5N1
A/dairy_cow/California/020772-001-R2/2025|EPI_ISL_20176217||2.3.4.4b|2025-07-15|HA|A_/_H5N1
A/dairy_cow/USA/24_033004-001/2024|EPI_ISL_19589548||2.3.4.4b|2024-01-01|HA|A_/_H5N1
A/dairy_cow/California/038330-001/2024|EPI_ISL_19661125||2.3.4.4b|2024-12-17|HA|A_/_H5N1
A/dairy_cow/Michigan/012377-003/2024|EPI_ISL_19227470||2.3.4.4b|2024-04-23|HA|A_/_H5N1
A/dairy_cow/USA/020789-001-R2/2025|EPI_ISL_20145255||2.3.4.4b|2025-01-01|HA|A_/_H5N1
A/dairy_cow/Idaho/014346-002/2025|EPI_ISL_19882368||2.3.4.4b|2025-04-28|HA|A_/_H5N1
A/dairy_cow/USA/036135-001/2024|EPI_ISL_19689837||2.3.4.4b|2024-01-01|HA|A_/_H5N1
A/dairy_cow/Michigan/24-010303-001-300/2024|EPI_ISL_19186563||2.3.4.4b|2024-04-03|HA|A_/_H5N1
A/Sichuan/2/2006|EPI_ISL_24605||2.3.4|2006-01-17|HA|A_/_H5N1
A/Jiangsu/1/2007|EPI_ISL_16357||2.3.4|2007-01-01|HA|A_/_H5N1
A/Egypt/N7592/2011|EPI_ISL_120283||2.2.1.2|2011-01-01|HA|A_/_H5N1
A/Vietnam/UT31412II/2008|EPI_ISL_76682||2.3.4.3|2008-02-09|HA|A_/_H5N1
A/Egypt/N01310/2009|EPI_ISL_31726||2.2.1|2009-02-28|HA|A_/_H5N1
A/Egypt/N04396/2009|EPI_ISL_31740||2.2.1|2009-05-17|HA|A_/_H5N1
A/Egypt/N7724/2011|EPI_ISL_120284||2.2.1.2|2011-01-01|HA|A_/_H5N1
A/Vietnam/C076H/2012|EPI_ISL_195244||1.1.1|2012-02-23|HA|A_/_H5N1
A/Cambodia/NIPH-25080754/2025|EPI_ISL_20119932||2.3.2.1e|2025-08-04|HA|A_/_H5N1
A/Viet_Nam/JP14/2005|EPI_ISL_11447||1|2005-01-01|HA|A_/_H5N1
A/Anhui/1/2006|EPI_ISL_73320||2.3.4|2006-12-10|HA|A_/_H5N1
A/Xinjiang/1/2009|EPI_ISL_73313||2.3.4|2009-01-10|HA|A_/_H5N1
A/Cambodia/X0123312/2013|EPI_ISL_166637||1.1.2|2013-01-23|HA|A_/_H5N1
A/Cambodia/X0219301/2013|EPI_ISL_166640||1.1.2|2013-02-18|HA|A_/_H5N1
A/California/194/2024|EPI_ISL_19616453||2.3.4.4b|2024-11-22|HA|A_/_H5N1
A/chicken/Czech_Republic/2196-4/2024|EPI_ISL_18897568||2.3.4.4b|2024-02-02|HA|A_/_H5N1
A/chicken/Czech_Republic/16115-1/2025|EPI_ISL_20258848||2.3.4.4b|2025-10-25|HA|A_/_H5N1
A/chicken/Afghanistan/1573-47/2006|EPI_ISL_6921||2.2|2006-01-01|HA|A_/_H5N1
A/dairy_cow/Ohio/OH24-8700-2/2024|EPI_ISL_19882165||2.3.4.4b|2024-03-29|HA|A_/_H5N1
A/dairy_cow/Ohio/B24OSU-497/2024|EPI_ISL_19178099||2.3.4.4b|2024-04-05|HA|A_/_H5N1
A/California/181/2024|EPI_ISL_19590702||2.3.4.4b|2024-11-07|HA|A_/_H5N1
A/Colorado/138/2024|EPI_ISL_19294962||2.3.4.4b|2024-07-19|HA|A_/_H5N1
A/Cambodia/24020155/2024|EPI_ISL_19270605||2.3.2.1e|2024-02-08|HA|A_/_H5N1
A/chicken/California/K2300227/2023|EPI_ISL_20348244||2.3.4.4b|2023-02-14|HA|A_/_H5N1
A/chicken/Aomori/22A3T/2022|EPI_ISL_18286226||2.3.4.4b|2022-11-20|HA|A_/_H5N1
A/chicken/Saitama/22A10C/2022|EPI_ISL_18286365||2.3.4.4b|2022-12-17|HA|A_/_H5N1
A/Chicken/Wales/107978/2025|EPI_ISL_20298216||2.3.4.4b|2025-11-17|HA|A_/_H5N1
A/chicken/England/146449/2022|EPI_ISL_15957892||2.3.4.4b|2022-11-05|HA|A_/_H5N1
A/Vietnam/HN31676DH/2009|EPI_ISL_173688||2.3.4.1|2009-04-16|HA|A_/_H5N1
